time_ms,swing,emg
24406,1,241
24532,1,941
24792,1,941
24913,1,941
25234,1,94142
25253,1,41
25433,1,4
25609,1,94
25724,1,14
25732,1,9411
25745,1,9
25786,1,949
25884,1,9441
26187,1,1491
26515,1,941919
26691,1,9
26707,1,41
26793,1,941
26891,1,4141
26941,1,19
27227,1,9
27375,1,14941
27407,1,1
27440,1,9
27469,1,141
27485,1,9411
27502,1,9941
27506,1,941
27596,1,949411
27797,1,1
27797,1,941
28596,1,1
28652,1,4
28661,1,1
28665,1,41
28698,1,1
28800,1,941
28984,1,1
29070,1,41
29095,1,1
29521,1,94
29578,1,9414141
29607,1,1
29713,1,9
29820,1,41
29926,1,9
30004,1,4
30233,1,141
30279,1,1
30459,1,941
30532,1,941
30639,1,1
30753,1,419
30852,1,944
31032,1,91
31036,1,941
31044,1,941
31053,1,9410
31143,1,941
31581,1,9
32314,1,9
32392,1,4
32412,1,9
32539,1,41
32969,1,49
33145,1,11
33219,1,4
33473,1,119
33944,1,441
34051,1,1944
34992,1,9941
35226,1,1
35283,1,49
35349,1,91
35378,1,94941
35439,1,4
35468,1,41
35824,1,11
35840,1,1
36053,1,4
36111,1,9
36119,1,1
36254,1,1
36266,1,9941
36270,1,941
36360,1,94
36401,1,91
36766,1,4949
36922,1,94149
36958,1,9
36979,1,9
37036,1,91
37286,1,41
37421,1,4
37462,1,14
37684,1,1141
37847,1,499441119
38966,1,4
39023,1,99
39137,1,4
39224,1,41
39273,1,4
39416,1,441
39445,1,49
39605,1,4
39621,1,4
39965,1,1
40198,1,1
40370,1,1191
40538,1,444494449141
40546,1,942
40620,1,1
40640,1,49
40698,1,14
40891,1,19
41083,1,1419
41239,1,4
41337,1,14
41366,1,94141
41378,1,941
41386,1,94141
41607,1,2
41616,1,41
41972,1,4
42054,1,11
42115,1,1
42324,1,94111
42402,1,91
42607,1,99941
42647,1,9414
42819,1,499
43016,1,944944
43074,1,9419
